Fecha,Frecuencia
2021-08-28,1313
2021-08-29,1115
2021-08-30,1369
2021-08-31,1275
2021-09-01,1436
2021-09-02,1451
2021-09-03,1345
2021-09-04,1203
2021-09-05,1227
2021-09-06,1447
2021-09-07,1466
2021-09-08,1294
2021-09-09,1425
2021-09-10,1625
2021-09-11,1280
2021-09-12,1270
2021-09-13,1541
2021-09-14,1390
2021-09-15,1344
2021-09-16,1515
2021-09-17,1535
2021-09-18,1370
2021-09-19,1271
2021-09-20,1545
2021-09-21,1502
2021-09-22,1394
2021-09-23,1371
2021-09-24,1363
2021-09-25,1167
2021-09-26,1053
2021-09-27,1185
2021-09-28,1249
2021-09-29,1215
2021-09-30,1433
2021-10-01,1430
2021-10-02,1147
2021-10-03,1106
2021-10-04,1445
2021-10-05,1348
2021-10-06,1281
2021-10-07,1348
2021-10-08,1375
2021-10-09,1091
2021-10-10,1316
2021-10-11,1409
2021-10-12,1635
2021-10-13,1366
2021-10-14,1303
2021-10-15,1692
2021-10-16,1528
2021-10-17,1340
2021-10-18,1311
2021-10-19,1842
2021-10-20,1792
2021-10-21,1807
2021-10-22,1862
2021-10-23,1486
2021-10-24,1335
2021-10-25,1823
2021-10-26,1763
2021-10-27,1684
2021-10-28,1689
2021-10-29,1806
2021-10-30,1639
2021-10-31,1529
2021-11-01,2441
2021-11-02,2197
2021-11-03,1962
2021-11-04,2455
2021-11-05,2541
2021-11-06,2245
2021-11-07,2019
2021-11-08,2828
2021-11-09,2531
2021-11-10,2310
2021-11-11,2122
2021-11-12,2209
2021-11-13,2164
2021-11-14,2147
2021-11-15,2403
2021-11-16,2635
2021-11-17,2217
2021-11-18,2327
2021-11-19,2239
2021-11-20,2022
2021-11-21,1869
2021-11-22,2107
2021-11-23,1779
2021-11-24,1782
2021-11-25,1940
2021-11-26,2056
2021-11-27,1833
2021-11-28,1890
2021-11-29,2007
2021-11-30,1928
2021-12-01,2036
2021-12-02,1710
2021-12-03,1867
2021-12-04,1527
2021-12-05,1707
2021-12-06,2071
2021-12-07,2062
2021-12-08,1826
2021-12-09,2063
2021-12-10,2273
2021-12-11,1932
2021-12-12,2363
2021-12-13,3167
2021-12-14,3517
2021-12-15,4105
2021-12-16,4753
2021-12-17,4360
2021-12-18,4485
2021-12-19,5757
2021-12-20,9078
2021-12-21,11227
2021-12-22,13390
2021-12-23,16226
2021-12-24,18328
2021-12-25,16470
2021-12-26,17455
2021-12-27,22235
2021-12-28,24317
2021-12-29,25037
2021-12-30,28744
2021-12-31,30480
2022-01-01,29746
2022-01-02,32899
2022-01-03,41484
2022-01-04,36705
2022-01-05,29118
2022-01-06,27084
2022-01-07,28923
2022-01-08,23998
2022-01-09,21347
2022-01-10,21885
2022-01-11,22782
2022-01-12,20499
2022-01-13,21156
2022-01-14,19587
2022-01-15,17309
2022-01-16,16898
2022-01-17,19856
2022-01-18,18671
2022-01-19,16078
2022-01-20,18495
2022-01-21,14159
2022-01-22,12576
2022-01-23,12004
2022-01-24,14130
2022-01-25,13336
2022-01-26,11662
2022-01-27,10822
2022-01-28,9629
2022-01-29,7621
2022-01-30,6888
2022-01-31,8111
2022-02-01,7342
2022-02-02,6756
2022-02-03,6283
2022-02-04,4786
2022-02-05,4233
2022-02-06,3186
2022-02-07,3862
2022-02-08,3384
2022-02-09,3053
2022-02-10,2961
2022-02-11,2702
2022-02-12,2435
2022-02-13,2048
2022-02-14,2336
2022-02-15,2014
2022-02-16,1707
2022-02-17,1629
2022-02-18,1476
2022-02-19,1175
2022-02-20,1146
2022-02-21,1351
2022-02-22,1207
2022-02-23,1093
2022-02-24,932
2022-02-25,835
2022-02-26,636
2022-02-27,533
2022-02-28,648
2022-03-01,693
2022-03-02,564
2022-03-03,476
2022-03-04,457
2022-03-05,392
2022-03-06,318
2022-03-07,436
2022-03-08,363
2022-03-09,328
2022-03-10,332
2022-03-11,308
2022-03-12,288
2022-03-13,265
2022-03-14,330
2022-03-15,308
2022-03-16,258
2022-03-17,241
